tanggal_realisasi,bus_body_no,rute_realisasi
2025-01-07 00:09:00,NBR2496-B,K22
2025-01-07 00:30:00,LGS7374,F11
2025-01-07 00:31:00,KLG685_A,L13
2025-01-07 00:21:00,LGS4320B,D11
2025-01-07 00:03:00,BRT53_A,C12
2025-01-07 00:11:00,PTK75_A,L13
2025-01-07 00:16:00,TWS5487,F11
2025-01-07 00:04:00,TWS1152-,C12
2025-01-07 00:29:00,PTK2702-,L13
2025-01-07 00:30:00,TWS887,C12
2025-01-07 00:21:00,KLG5808_,C12
2025-01-07 00:25:00,TWS8340-,K22
2025-01-07 00:25:00,KLG6410-B,B21
2025-01-07 00:27:00,TWS9535-,B21
2025-01-07 00:27:00,NBR6670,C12
2025-01-07 00:06:00,LGS5535_A,C12
2025-01-07 00:09:00,TWS6955_B,D11
2025-01-07 00:13:00,KLG1962_,B21
2025-01-07 00:13:00,PTK4239_A,C12
2025-01-07 00:19:00,KLG7476B,M14
2025-01-07 00:25:00,LGS1255A,D11
2025-01-07 00:16:00,PTK1622,C12
2025-01-07 00:18:00,PTK7361,F11
2025-01-07 00:16:00,PTK4634B,M14
2025-01-07 00:09:00,KLG4264A,B21
2025-01-07 00:30:00,PTK8423_B,L13
2025-01-07 00:19:00,PTK3485B,B21
2025-01-07 00:30:00,KLG3355B,B21
2025-01-07 00:26:00,LGS7526A,K22
2025-01-07 00:19:00,NBR512_B,C12
2025-01-07 00:04:00,KLG1245,K22
2025-01-07 00:11:00,PTK4562-B,F11
2025-01-07 00:28:00,TWS3830A,C12
2025-01-07 00:03:00,PTK3817,C12
2025-01-07 00:13:00,LGS6666-B,D11
2025-01-07 00:17:00,KLG9168B,M14
2025-01-07 00:26:00,TWS2993-A,B21
2025-01-07 00:26:00,LGS7928_,C12
2025-01-07 00:21:00,TWS7585_A,D11
2025-01-07 00:30:00,BRT2393_,L13
2025-01-07 00:13:00,NBR7416A,C12
2025-01-07 00:06:00,LGS244-,L13
2025-01-07 00:20:00,LGS5577A,F11
2025-01-07 00:25:00,PTK807-,M14
2025-01-07 00:12:00,BRT6812B,M14
2025-01-07 00:10:00,BRT3328,M14
2025-01-07 00:21:00,TWS6274,L13
2025-01-07 00:19:00,LGS2156-,B21
2025-01-07 00:15:00,KLG7869-B,L13
2025-01-07 00:12:00,NBR6623,D11
2025-01-07 00:31:00,NBR4281A,C12
2025-01-07 00:22:00,NBR4572,L13
2025-01-07 00:09:00,PTK6917,D11
2025-01-07 00:02:00,KLG8895_B,M14
2025-01-07 00:28:00,KLG2646,F11
2025-01-07 00:27:00,NBR7665A,B21
2025-01-07 00:05:00,PTK541A,K22
2025-01-07 00:05:00,LGS743-,D11
2025-01-07 00:17:00,NBR9015-,F11
2025-01-07 00:26:00,BRT7403-,L13
2025-01-07 00:21:00,KLG7711-B,D11
2025-01-07 00:21:00,NBR9157,C12
2025-01-07 00:08:00,PTK4578_B,B21
2025-01-07 00:13:00,BRT9511A,M14
2025-01-07 00:23:00,BRT6172_B,L13
2025-01-07 00:10:00,KLG9934-B,F11
2025-01-07 00:10:00,NBR1570-,L13
2025-01-07 00:22:00,TWS836A,F11
2025-01-07 00:29:00,NBR9584-B,K22
2025-01-07 00:25:00,PTK2891,F11
2025-01-07 00:17:00,KLG3654_,D11
2025-01-07 00:09:00,TWS323_B,D11
2025-01-07 00:06:00,LGS8438_,D11
2025-01-07 00:29:00,KLG9457_,K22
2025-01-07 00:19:00,LGS3857B,C12
2025-01-07 00:24:00,PTK9457A,F11
2025-01-07 00:12:00,TWS6331,L13
2025-01-07 00:17:00,NBR9431-,F11
2025-01-07 00:03:00,KLG9116A,F11
2025-01-07 00:22:00,BRT8045B,F11
2025-01-07 00:24:00,KLG7282,L13
2025-01-07 00:10:00,KLG1044A,F11
2025-01-07 00:06:00,NBR375B,B21
2025-01-07 00:21:00,KLG2228A,F11
2025-01-07 00:22:00,LGS2790-,B21
2025-01-07 00:21:00,PTK2859-,M14
2025-01-07 00:11:00,NBR8147_,M14
2025-01-07 00:05:00,LGS4342,L13
2025-01-07 00:29:00,KLG8225_B,B21
2025-01-07 00:11:00,BRT7453B,B21
2025-01-07 00:30:00,PTK3743-B,C12
2025-01-07 00:23:00,NBR2548-A,C12
2025-01-07 00:05:00,PTK1138-,L13
2025-01-07 00:08:00,BRT322-B,C12
2025-01-07 00:16:00,KLG4881_A,D11
2025-01-07 00:12:00,BRT9815,D11
2025-01-07 00:04:00,LGS623B,F11
2025-01-07 00:01:00,BRT6927_,L13
2025-01-07 00:17:00,LGS5416_,C12
2025-01-07 00:08:00,BRT1403_B,K22
2025-01-07 00:01:00,BRT9655_,D11
2025-01-07 00:20:00,NBR8952-,D11
2025-01-07 00:26:00,KLG5030B,D11
2025-01-07 00:08:00,LGS7027-,M14
2025-01-07 00:29:00,LGS9579_,L13
2025-01-07 00:01:00,NBR8178_A,L13
2025-01-07 00:12:00,NBR5282,L13
2025-01-07 00:31:00,KLG7146,M14
2025-01-07 00:18:00,LGS9582_,C12
2025-01-07 00:03:00,KLG9042A,C12
2025-01-07 00:08:00,TWS8108-,L13
2025-01-07 00:22:00,LGS1152-B,M14
2025-01-07 00:21:00,KLG8460,L13
2025-01-07 00:31:00,NBR2200A,F11
2025-01-07 00:01:00,KLG9392,M14
2025-01-07 00:25:00,TWS6977B,C12
2025-01-07 00:10:00,KLG3636B,B21
2025-01-07 00:16:00,TWS4193B,M14
2025-01-07 00:04:00,PTK3599A,C12
2025-01-07 00:09:00,NBR5801-,B21
2025-01-07 00:24:00,BRT9635,D11
2025-01-07 00:28:00,PTK7312,B21
2025-01-07 00:07:00,LGS1214_,F11
2025-01-07 00:07:00,TWS3696A,B21
2025-01-07 00:22:00,TWS3608-,C12
2025-01-07 00:18:00,LGS6498-A,B21
2025-01-07 00:10:00,BRT7236A,B21
2025-01-07 00:08:00,KLG1590-B,B21
2025-01-07 00:19:00,TWS5211,M14
2025-01-07 00:20:00,PTK5873_B,M14
2025-01-07 00:07:00,PTK956-B,M14
2025-01-07 00:06:00,KLG3774-,L13
2025-01-07 00:01:00,KLG1136-A,C12
2025-01-07 00:25:00,BRT9687-A,K22
2025-01-07 00:08:00,TWS9101-,B21
2025-01-07 00:11:00,TWS7493,B21
2025-01-07 00:24:00,PTK2481_B,C12
2025-01-07 00:19:00,PTK2381B,F11
2025-01-07 00:02:00,KLG4190-B,C12
2025-01-07 00:14:00,KLG6756B,K22
2025-01-07 00:07:00,PTK8100,L13
2025-01-07 00:20:00,KLG7439,C12
2025-01-07 00:03:00,PTK7132A,C12
2025-01-07 00:01:00,PTK6315-,M14
2025-01-07 00:20:00,KLG473_,M14
2025-01-07 00:28:00,LGS9580-A,B21
2025-01-07 00:07:00,LGS4623B,M14
2025-01-07 00:10:00,BRT8623-,B21
2025-01-07 00:20:00,LGS9691A,D11
2025-01-07 00:24:00,TWS869_B,M14
2025-01-07 00:29:00,PTK5981_,C12
2025-01-07 00:09:00,TWS2140-,D11
2025-01-07 00:20:00,NBR7579,D11
2025-01-07 00:13:00,BRT7888B,L13
2025-01-07 00:24:00,TWS937,B21
2025-01-07 00:17:00,KLG2451-B,C12
2025-01-07 00:06:00,KLG9680-,L13
2025-01-07 00:30:00,LGS9003_,D11
2025-01-07 00:03:00,BRT7061-,D11
2025-01-07 00:02:00,BRT8925,B21
2025-01-07 00:29:00,LGS4938,B21
2025-01-07 00:29:00,KLG8048A,B21
2025-01-07 00:21:00,PTK9211_B,B21
2025-01-07 00:16:00,NBR7675,B21
2025-01-07 00:02:00,LGS5535-B,F11
2025-01-07 00:25:00,TWS6489,C12
2025-01-07 00:09:00,PTK2929,D11
2025-01-07 00:23:00,LGS2397,K22
2025-01-07 00:19:00,BRT3293-B,K22
2025-01-07 00:11:00,PTK1584B,D11
2025-01-07 00:15:00,KLG4866-B,B21
2025-01-07 00:03:00,LGS7257_,B21
2025-01-07 00:02:00,KLG4508A,M14
2025-01-07 00:28:00,BRT2727B,L13
2025-01-07 00:12:00,LGS7401_A,F11
2025-01-07 00:09:00,KLG5162,L13
2025-01-07 00:30:00,NBR3199_,L13
2025-01-07 00:11:00,TWS2254_B,M14
2025-01-07 00:20:00,TWS9690A,K22
2025-01-07 00:03:00,KLG3930,C12
2025-01-07 00:07:00,BRT8935,B21
2025-01-07 00:17:00,TWS3795,M14
2025-01-07 00:26:00,NBR1555_,K22
2025-01-07 00:15:00,PTK6549,L13
2025-01-07 00:11:00,TWS5830_,F11
2025-01-07 00:20:00,KLG5600-B,D11
2025-01-07 00:27:00,LGS1988B,C12
2025-01-07 00:19:00,LGS3263,C12
2025-01-07 00:15:00,KLG5394,C12
2025-01-07 00:19:00,NBR1687A,L13
2025-01-07 00:14:00,BRT367,K22
2025-01-07 00:13:00,KLG3934-,M14
2025-01-07 00:29:00,PTK3362_,C12
2025-01-07 00:23:00,BRT6234_,F11
2025-01-07 00:17:00,NBR7720_B,K22
2025-01-07 00:02:00,TWS2242-,B21
2025-01-07 00:29:00,KLG7825,B21
2025-01-07 00:29:00,BRT4853_B,M14
2025-01-07 00:31:00,KLG6309-,L13
2025-01-07 00:08:00,KLG8054-,B21
2025-01-07 00:01:00,KLG3481,L13
2025-01-07 00:20:00,KLG5234,F11
2025-01-07 00:27:00,BRT5345B,K22
2025-01-07 00:07:00,BRT4016,M14
2025-01-07 00:03:00,KLG2539_,D11
2025-01-07 00:10:00,NBR5781-B,L13
2025-01-07 00:15:00,KLG8573_,B21
2025-01-07 00:05:00,NBR4266_B,F11
2025-01-07 00:26:00,KLG9207_A,K22
2025-01-07 00:20:00,NBR6348-B,F11
2025-01-07 00:05:00,KLG5029B,D11
2025-01-07 00:13:00,LGS4553,F11
2025-01-07 00:08:00,BRT7109_B,L13
2025-01-07 00:27:00,BRT7532-,B21
2025-01-07 00:28:00,TWS9940_,C12
2025-01-07 00:02:00,KLG1342-,M14
2025-01-07 00:21:00,LGS9327_A,M14
2025-01-07 00:07:00,PTK5529,L13
2025-01-07 00:29:00,PTK8089_B,M14
2025-01-07 00:30:00,NBR5833,C12
2025-01-07 00:01:00,TWS1350,B21
2025-01-07 00:29:00,LGS1261-,C12
2025-01-07 00:06:00,BRT5513_A,M14
2025-01-07 00:24:00,KLG605B,C12
2025-01-07 00:13:00,PTK7154-B,K22
2025-01-07 00:06:00,NBR4304A,M14
2025-01-07 00:23:00,BRT2041-B,C12
2025-01-07 00:26:00,LGS661_,C12
2025-01-07 00:11:00,PTK17B,L13
2025-01-07 00:31:00,TWS9305,L13
2025-01-07 00:13:00,LGS1695A,C12
2025-01-07 00:09:00,BRT9595,F11
2025-01-07 00:03:00,PTK3204,D11
2025-01-07 00:08:00,TWS878-,D11
2025-01-07 00:10:00,TWS488A,F11
2025-01-07 00:22:00,PTK5678-A,M14
2025-01-07 00:01:00,PTK6340B,C12
2025-01-07 00:31:00,KLG2471A,C12
2025-01-07 00:09:00,KLG2269,C12
2025-01-07 00:09:00,NBR2140_A,D11
2025-01-07 00:01:00,NBR6906B,D11
2025-01-07 00:17:00,PTK6783,B21
2025-01-07 00:13:00,BRT6363_B,F11
2025-01-07 00:05:00,NBR1491B,L13
2025-01-07 00:14:00,NBR1122B,F11
2025-01-07 00:24:00,BRT8932,B21
2025-01-07 00:25:00,KLG1758B,M14
2025-01-07 00:21:00,LGS1500A,L13
2025-01-07 00:29:00,PTK3813_,D11
2025-01-07 00:30:00,PTK5093,M14
2025-01-07 00:01:00,LGS1070_A,D11
2025-01-07 00:13:00,LGS9510_B,M14
2025-01-07 00:07:00,NBR4066,L13
2025-01-07 00:02:00,TWS8105,D11
2025-01-07 00:13:00,NBR2265_A,M14
2025-01-07 00:13:00,NBR5222-A,K22
